Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Average Heart Rate
9100003823,"Apr 28, 2026, 5:30:00 PM",Easy evening run,Run,,3440,9.89,161,,false,,,78.0,,3440,3367,9890.0,3.466,2.937,62,142
9100007181,"Apr 30, 2026, 5:45:00 PM",5 x 1 km intervals,Run,,3516,11.0,181,,false,,,78.0,,3516,3449,11000.0,3.763,3.189,30,163
9100011166,"May 02, 2026, 9:00:00 AM",Steady run,Run,,3120,10.69,171,,false,,,78.0,,3120,3100,10690.0,4.069,3.448,33,158
9100016274,"May 03, 2026, 8:00:00 AM",Long run,Run,,5997,17.56,160,,false,,,78.0,,5997,5953,17560.0,3.481,2.95,72,148
9100021144,"Apr 27, 2026, 6:00:00 PM",Gym,Weight Training,,2760,0.0,,,false,,,78.0,,2760,2700,0.0,0.0,0,0,
9100023795,"May 01, 2026, 5:00:00 PM",Commute ride,Ride,,2119,12.37,138,,false,,,78.0,,2119,2055,12370.0,7.103,6.019,41,125
9100031954,"May 05, 2026, 5:30:00 PM",Easy evening run,Run,,3367,9.79,152,,false,,,78.0,,3367,3289,9790.0,3.512,2.977,31,142
9100036877,"May 07, 2026, 5:45:00 PM",5 x 1 km intervals,Run,,3481,11.0,183,,false,,,78.0,,3481,3422,11000.0,3.793,3.214,14,163
9100045353,"May 09, 2026, 9:00:00 AM",Steady run,Run,,3167,11.15,170,,false,,,78.0,,3167,3110,11150.0,4.231,3.585,51,158
9100053048,"May 10, 2026, 8:00:00 AM",Long run,Run,,5975,17.97,167,,false,,,78.0,,5975,5960,17970.0,3.558,3.015,127,148
9100054307,"May 04, 2026, 6:00:00 PM",Gym,Weight Training,,2760,0.0,,,false,,,78.0,,2760,2700,0.0,0.0,0,0,
9100061706,"May 12, 2026, 5:30:00 PM",Easy evening run,Run,,3611,10.76,150,,false,,,78.0,,3611,3543,10760.0,3.584,3.037,59,142
9100065697,"May 14, 2026, 5:45:00 PM",5 x 1 km intervals,Run,,3514,11.0,181,,false,,,78.0,,3514,3436,11000.0,3.778,3.201,18,163
9100074604,"May 16, 2026, 9:00:00 AM",Steady run,Run,,3306,11.24,174,,false,,,78.0,,3306,3287,11240.0,4.035,3.42,75,158
9100082755,"May 17, 2026, 8:00:00 AM",Long run,Run,,6166,18.21,160,,false,,,78.0,,6166,6135,18210.0,3.502,2.968,106,148
9100087284,"May 11, 2026, 6:00:00 PM",Gym,Weight Training,,2760,0.0,,,false,,,78.0,,2760,2700,0.0,0.0,0,0,
9100095910,"May 19, 2026, 5:30:00 PM",Easy evening run,Run,,2822,8.09,155,,false,,,78.0,,2822,2782,8090.0,3.431,2.908,60,142
9100100135,"May 21, 2026, 5:45:00 PM",4 x 1 km intervals,Run,,3012,9.5,173,,false,,,78.0,,3012,2996,9500.0,3.742,3.171,27,163
9100103895,"May 24, 2026, 8:00:00 AM",Long run,Run,,4576,13.36,164,,false,,,78.0,,4576,4562,13360.0,3.456,2.929,176,148
9100110319,"May 18, 2026, 6:00:00 PM",Gym,Weight Training,,2760,0.0,,,false,,,78.0,,2760,2700,0.0,0.0,0,0,
9100116964,"May 22, 2026, 5:00:00 PM",Commute ride,Ride,,2574,15.54,139,,false,,,78.0,,2574,2519,15540.0,7.28,6.169,42,125
9100124977,"May 26, 2026, 5:30:00 PM",Easy evening run,Run,,3354,9.9,159,,false,,,78.0,,3354,3338,9900.0,3.5,2.966,58,142
9100127124,"May 28, 2026, 5:45:00 PM",5 x 1 km intervals,Run,,3473,11.0,183,,false,,,78.0,,3473,3394,11000.0,3.824,3.241,28,163
9100131399,"May 30, 2026, 9:00:00 AM",Steady run,Run,,3116,10.99,171,,false,,,78.0,,3116,3107,10990.0,4.174,3.537,65,158
9100132664,"May 31, 2026, 8:00:00 AM",Long run,Run,,6424,19.35,165,,false,,,78.0,,6424,6401,19350.0,3.567,3.023,130,148
9100141227,"May 25, 2026, 6:00:00 PM",Gym,Weight Training,,2760,0.0,,,false,,,78.0,,2760,2700,0.0,0.0,0,0,
9100144442,"Jun 02, 2026, 5:30:00 PM",Easy evening run,Run,,3544,10.5,153,,false,,,78.0,,3544,3521,10500.0,3.519,2.982,55,142
9100147699,"Jun 04, 2026, 5:45:00 PM",5 x 1 km intervals,Run,,3452,11.0,176,,false,,,78.0,,3452,3389,11000.0,3.83,3.246,11,163
9100153219,"Jun 06, 2026, 9:00:00 AM",Steady run,Run,,3231,11.5,172,,false,,,78.0,,3231,3205,11500.0,4.234,3.588,86,158
9100159513,"Jun 07, 2026, 8:00:00 AM",Long run,Run,,6375,19.14,156,,false,,,78.0,,6375,6325,19140.0,3.571,3.026,120,148
9100164928,"Jun 01, 2026, 6:00:00 PM",Gym,Weight Training,,2760,0.0,,,false,,,78.0,,2760,2700,0.0,0.0,0,0,
9100167354,"Jun 09, 2026, 5:30:00 PM",Easy evening run,Run,,3410,10.05,151,,false,,,78.0,,3410,3351,10050.0,3.539,2.999,30,142
9100174180,"Jun 11, 2026, 5:45:00 PM",5 x 1 km intervals,Run,,3442,11.0,176,,false,,,78.0,,3442,3432,11000.0,3.782,3.205,23,163
9100178628,"Jun 13, 2026, 9:00:00 AM",Steady run,Run,,3395,11.33,172,,false,,,78.0,,3395,3315,11330.0,4.033,3.418,57,158
9100186115,"Jun 14, 2026, 8:00:00 AM",Long run,Run,,6375,19.13,156,,false,,,78.0,,6375,6325,19130.0,3.569,3.025,121,148
9100190463,"Jun 08, 2026, 6:00:00 PM",Gym,Weight Training,,2760,0.0,,,false,,,78.0,,2760,2700,0.0,0.0,0,0,
9100192676,"Jun 12, 2026, 5:00:00 PM",Commute ride,Ride,,3172,20.17,135,,false,,,78.0,,3172,3148,20170.0,7.561,6.407,75,125
9100194767,"Jun 16, 2026, 5:30:00 PM",Easy evening run,Run,,2936,8.29,150,,false,,,78.0,,2936,2863,8290.0,3.417,2.896,25,142
9100200033,"Jun 18, 2026, 5:45:00 PM",4 x 1 km intervals,Run,,3058,9.5,176,,false,,,78.0,,3058,2981,9500.0,3.76,3.187,29,163
9100203639,"Jun 21, 2026, 8:00:00 AM",Long run,Run,,4904,14.57,161,,false,,,78.0,,4904,4877,14570.0,3.525,2.987,89,148
9100212494,"Jun 15, 2026, 6:00:00 PM",Gym,Weight Training,,2760,0.0,,,false,,,78.0,,2760,2700,0.0,0.0,0,0,
9100213645,"Jun 23, 2026, 5:30:00 PM",Easy evening run,Run,,3453,10.22,157,,false,,,78.0,,3453,3430,10220.0,3.516,2.98,28,142
9100218306,"Jun 25, 2026, 5:45:00 PM",5 x 1 km intervals,Run,,3459,11.0,176,,false,,,78.0,,3459,3407,11000.0,3.81,3.229,21,163
9100223327,"Jun 27, 2026, 9:00:00 AM",Steady run,Run,,3429,11.63,167,,false,,,78.0,,3429,3397,11630.0,4.04,3.424,89,158
9100226209,"Jun 28, 2026, 8:00:00 AM",Long run,Run,,6559,19.21,162,,false,,,78.0,,6559,6491,19210.0,3.492,2.959,66,148
9100227457,"Jun 22, 2026, 6:00:00 PM",Gym,Weight Training,,2760,0.0,,,false,,,78.0,,2760,2700,0.0,0.0,0,0,
9100232445,"Jun 30, 2026, 5:30:00 PM",Easy evening run,Run,,3685,10.67,156,,false,,,78.0,,3685,3599,10670.0,3.498,2.965,28,142
9100236892,"Jul 02, 2026, 5:45:00 PM",5 x 1 km intervals,Run,,3436,11.0,180,,false,,,78.0,,3436,3408,11000.0,3.809,3.228,23,163
9100241236,"Jul 04, 2026, 9:00:00 AM",Steady run,Run,,3712,12.37,176,,false,,,78.0,,3712,3627,12370.0,4.024,3.411,51,158
9100245605,"Jul 05, 2026, 8:00:00 AM",Long run,Run,,6815,20.32,166,,false,,,78.0,,6815,6726,20320.0,3.565,3.021,172,148
9100252424,"Jun 29, 2026, 6:00:00 PM",Gym,Weight Training,,2760,0.0,,,false,,,78.0,,2760,2700,0.0,0.0,0,0,
9100255943,"Jul 03, 2026, 5:00:00 PM",Commute ride,Ride,,2333,14.78,136,,false,,,78.0,,2333,2332,14780.0,7.479,6.338,101,125
9100258571,"Jul 07, 2026, 5:30:00 PM",Easy evening run,Run,,3925,11.51,159,,false,,,78.0,,3925,3875,11510.0,3.505,2.97,39,142
9100263525,"Jul 09, 2026, 5:45:00 PM",5 x 1 km intervals,Run,,3459,11.0,173,,false,,,78.0,,3459,3435,11000.0,3.779,3.202,20,163
9100267071,"Jul 11, 2026, 9:00:00 AM",Steady run,Run,,3563,12.39,169,,false,,,78.0,,3563,3558,12390.0,4.109,3.482,33,158
9100275252,"Jul 12, 2026, 8:00:00 AM",Long run,Run,,6979,20.84,168,,false,,,78.0,,6979,6970,20840.0,3.528,2.99,125,148
9100276487,"Jul 06, 2026, 6:00:00 PM",Gym,Weight Training,,2760,0.0,,,false,,,78.0,,2760,2700,0.0,0.0,0,0,
9100284085,"Jul 14, 2026, 5:30:00 PM",Easy evening run,Run,,2721,7.93,153,,false,,,78.0,,2721,2699,7930.0,3.467,2.938,44,142
9100288845,"Jul 16, 2026, 5:45:00 PM",4 x 1 km intervals,Run,,3033,9.5,181,,false,,,78.0,,3033,2961,9500.0,3.786,3.208,19,163
9100297186,"Jul 19, 2026, 8:00:00 AM",Long run,Run,,5088,15.1,160,,false,,,78.0,,5088,5076,15100.0,3.51,2.975,133,148
9100298513,"Jul 13, 2026, 6:00:00 PM",Gym,Weight Training,,2760,0.0,,,false,,,78.0,,2760,2700,0.0,0.0,0,0,
9100304187,"Jul 21, 2026, 5:30:00 PM",Easy evening run,Run,,3662,10.57,154,,false,,,78.0,,3662,3590,10570.0,3.474,2.944,22,142
9100312040,"Jul 23, 2026, 5:45:00 PM",5 x 1 km intervals,Run,,3416,11.0,172,,false,,,78.0,,3416,3393,11000.0,3.826,3.242,16,163
9100316024,"Jul 25, 2026, 9:00:00 AM",Steady run,Run,,3413,12.04,175,,false,,,78.0,,3413,3375,12040.0,4.21,3.567,30,158
9100321145,"Jul 26, 2026, 8:00:00 AM",Long run,Run,,6991,20.74,162,,false,,,78.0,,6991,6938,20740.0,3.527,2.989,62,148
9100324481,"Jul 20, 2026, 6:00:00 PM",Gym,Weight Training,,2760,0.0,,,false,,,78.0,,2760,2700,0.0,0.0,0,0,
9100332187,"Jul 24, 2026, 5:00:00 PM",Commute ride,Ride,,3212,18.76,143,,false,,,78.0,,3212,3182,18760.0,6.957,5.896,66,125
9100337102,"Jul 28, 2026, 5:30:00 PM",Easy evening run,Run,,3975,11.67,162,,false,,,78.0,,3975,3905,11670.0,3.526,2.988,39,142
9100343190,"Jul 30, 2026, 5:45:00 PM",5 x 1 km intervals,Run,,3461,11.0,174,,false,,,78.0,,3461,3390,11000.0,3.829,3.245,24,163
9100344220,"Aug 01, 2026, 9:00:00 AM",Steady run,Run,,3507,12.43,175,,false,,,78.0,,3507,3505,12430.0,4.185,3.546,87,158
9100349181,"Aug 02, 2026, 8:00:00 AM",Long run,Run,,7150,20.93,156,,false,,,78.0,,7150,7066,20930.0,3.495,2.962,132,148
9100351203,"Jul 27, 2026, 6:00:00 PM",Gym,Weight Training,,2760,0.0,,,false,,,78.0,,2760,2700,0.0,0.0,0,0,
9100352473,"Aug 04, 2026, 5:30:00 PM",Easy evening run,Run,,3722,11.06,152,,false,,,78.0,,3722,3647,11060.0,3.579,3.033,35,142
9100360795,"Aug 06, 2026, 5:45:00 PM",5 x 1 km intervals,Run,,3499,11.0,175,,false,,,78.0,,3499,3410,11000.0,3.806,3.226,40,163
9100368309,"Aug 08, 2026, 9:00:00 AM",Steady run,Run,,3549,12.57,171,,false,,,78.0,,3549,3493,12570.0,4.246,3.599,54,158
9100374126,"Aug 09, 2026, 8:00:00 AM",Long run,Run,,6843,20.28,161,,false,,,78.0,,6843,6758,20280.0,3.541,3.001,147,148
9100381258,"Aug 03, 2026, 6:00:00 PM",Gym,Weight Training,,2760,0.0,,,false,,,78.0,,2760,2700,0.0,0.0,0,0,
9100388059,"Aug 11, 2026, 5:30:00 PM",Easy evening run,Run,,2601,7.9,150,,false,,,78.0,,2601,2591,7900.0,3.598,3.049,44,142
9100392887,"Aug 13, 2026, 5:45:00 PM",4 x 1 km intervals,Run,,2973,9.5,172,,false,,,78.0,,2973,2954,9500.0,3.795,3.216,37,163
9100395359,"Aug 16, 2026, 8:00:00 AM",Long run,Run,,5196,15.42,156,,false,,,78.0,,5196,5114,15420.0,3.558,3.015,61,148
9100401467,"Aug 10, 2026, 6:00:00 PM",Gym,Weight Training,,2760,0.0,,,false,,,78.0,,2760,2700,0.0,0.0,0,0,
9100410387,"Aug 14, 2026, 5:00:00 PM",Commute ride,Ride,,3047,18.32,138,,false,,,78.0,,3047,3038,18320.0,7.116,6.03,48,125
9100414813,"Aug 18, 2026, 5:30:00 PM",Easy evening run,Run,,3821,11.43,161,,false,,,78.0,,3821,3790,11430.0,3.559,3.016,57,142
9100422878,"Aug 20, 2026, 5:45:00 PM",5 x 1 km intervals,Run,,3359,11.0,173,,false,,,78.0,,3359,3346,11000.0,3.879,3.288,10,163
9100431167,"Aug 22, 2026, 9:00:00 AM",Steady run,Run,,3548,12.19,169,,false,,,78.0,,3548,3498,12190.0,4.112,3.485,61,158
9100437783,"Aug 23, 2026, 8:00:00 AM",Long run,Run,,7224,21.13,166,,false,,,78.0,,7224,7182,21130.0,3.472,2.942,147,148
9100440188,"Aug 17, 2026, 6:00:00 PM",Gym,Weight Training,,2760,0.0,,,false,,,78.0,,2760,2700,0.0,0.0,0,0,
9100442060,"Aug 25, 2026, 5:30:00 PM",Easy evening run,Run,,3974,11.62,159,,false,,,78.0,,3974,3935,11620.0,3.485,2.953,23,142
9100449411,"Aug 27, 2026, 5:45:00 PM",5 x 1 km intervals,Run,,3453,11.0,182,,false,,,78.0,,3453,3385,11000.0,3.835,3.25,33,163
9100454760,"Aug 29, 2026, 9:00:00 AM",Steady run,Run,,3741,12.84,170,,false,,,78.0,,3741,3737,12840.0,4.054,3.436,47,158
9100460529,"Aug 30, 2026, 8:00:00 AM",Long run,Run,,7296,21.76,164,,false,,,78.0,,7296,7230,21760.0,3.551,3.01,170,148
9100468452,"Aug 24, 2026, 6:00:00 PM",Gym,Weight Training,,2760,0.0,,,false,,,78.0,,2760,2700,0.0,0.0,0,0,
9100475179,"Sep 01, 2026, 5:30:00 PM",Easy evening run,Run,,3701,11.17,152,,false,,,78.0,,3701,3667,11170.0,3.594,3.046,20,142
9100483947,"Sep 03, 2026, 5:45:00 PM",5 x 1 km intervals,Run,,3378,11.0,171,,false,,,78.0,,3378,3376,11000.0,3.845,3.258,35,163
9100490213,"Sep 05, 2026, 9:00:00 AM",Steady run,Run,,3898,13.21,177,,false,,,78.0,,3898,3808,13210.0,4.093,3.469,65,158
9100494383,"Sep 06, 2026, 8:00:00 AM",Long run,Run,,7201,21.48,168,,false,,,78.0,,7201,7177,21480.0,3.532,2.993,151,148
9100496163,"Aug 31, 2026, 6:00:00 PM",Gym,Weight Training,,2760,0.0,,,false,,,78.0,,2760,2700,0.0,0.0,0,0,
9100504362,"Sep 04, 2026, 5:00:00 PM",Commute ride,Ride,,3395,20.54,145,,false,,,78.0,,3395,3355,20540.0,7.224,6.122,96,125
9100506832,"Sep 08, 2026, 5:30:00 PM",Easy evening run,Run,,2760,7.96,162,,false,,,78.0,,2760,2708,7960.0,3.469,2.939,37,142
9100509355,"Sep 10, 2026, 5:45:00 PM",4 x 1 km intervals,Run,,2991,9.5,178,,false,,,78.0,,2991,2940,9500.0,3.813,3.231,14,163
9100518003,"Sep 13, 2026, 8:00:00 AM",Long run,Run,,5553,16.51,157,,false,,,78.0,,5553,5521,16510.0,3.529,2.99,158,148
9100521540,"Sep 07, 2026, 6:00:00 PM",Gym,Weight Training,,2760,0.0,,,false,,,78.0,,2760,2700,0.0,0.0,0,0,
